user	build	chip	chip_version	inferred_sex	source
10645	37			Female	AncestryDNA
10542	37	HTS iSelect HD	v4	Female	23andMe
10653	37			Female	AncestryDNA, AncestryDNA
10106	37			Female	AncestryDNA
10559	37	Illumina GSAs	v5	Male	23andMe
10828	37	Illumina GSAs	v5	Female	23andMe
1100	37	OmniExpress plus	v3	Male	23andMe
1042	37	OmniExpress	v1	Female	AncestryDNA
10544	37	HTS iSelect HD	v4	Male	23andMe
1033	37	OmniExpress plus	v3	Male	23andMe
1	37	Illumina GSAs	v5	Male	23andMe, vcf
10383	37			Male	AncestryDNA
10448	37			Female	AncestryDNA
10093	37			Male	AncestryDNA
10232	37			Male	AncestryDNA
10572	37			Female	AncestryDNA, AncestryDNA
10058	37			Male	DNA.Land
10790	37			Male	AncestryDNA
10936	37			Male	23andMe
10635	37			Female	AncestryDNA
1047	37	OmniExpress plus	v3	Male	23andMe
11076	37	HTS iSelect HD	v4	Female	23andMe
1026	37	OmniExpress plus	v3	Female	23andMe
1041	37	OmniExpress plus	v3	Female	23andMe
10765	37	Illumina GSAs	v5	Male	23andMe
10216	37	HTS iSelect HD	v4	Male	23andMe
10348	37			Male	23andMe
10188	37			Male	AncestryDNA
1079	37	OmniExpress plus	v3	Female	23andMe
1071	37	OmniExpress plus	v3	Male	23andMe
10520	37			Female	generic
10074	37	Illumina GSAs	v5	Female	23andMe
11062	37			Female	AncestryDNA
10171	37	Illumina GSAs	v5	Male	23andMe
10347	37			Male	FTDNA
1103	37	OmniExpress plus	v3	Female	23andMe
10926	37	Illumina GSAs	v5	Female	23andMe
1084	37	OmniExpress			FTDNA
10142	37	Illumina GSAs	v5	Female	23andMe
1029	37	OmniExpress plus	v3	Female	23andMe
1094	37	OmniExpress plus	v3	Male	23andMe
10	37	OmniExpress plus	v3	Male	23andMe
10388	37	Illumina GSAs	v5	Female	23andMe
10785	37			Female	AncestryDNA
1034	37	OmniExpress plus	v3	Male	23andMe
1040	37	OmniExpress plus	v3	Male	23andMe
10583	37	Illumina GSAs	v5	Male	23andMe
10489	37			Male	23andMe
10141	37	Illumina GSAs	v5	Male	23andMe
10868	37	Illumina GSAs	v5	Female	23andMe
10962	37			Female	AncestryDNA
1046	37	OmniExpress plus	v3	Male	23andMe
11082	37	HTS iSelect HD	v4	Male	23andMe
10530	37			Male	AncestryDNA
10507	37	Illumina GSAs	v5	Male	23andMe
10977	37	OmniExpress	v1	Female	AncestryDNA
10881	37	OmniExpress		Male	MyHeritage
10420	37	Illumina GSAs	v5	Male	23andMe
1039	37	OmniExpress plus	v3	Male	23andMe
10279	37	Illumina GSAs	v5	Female	23andMe
10897	37			Female	AncestryDNA
1060	37	OmniExpress plus	v3	Male	23andMe
10195	37	Illumina GSAs	v5	Female	23andMe, 23andMe
10414	37			Male	FTDNA, 23andMe
1035	37	OmniExpress	v1	Female	AncestryDNA
1081	37	OmniExpress plus	v3	Female	23andMe, 23andMe
10408	37	HTS iSelect HD	v4	Female	23andMe
10302	37	Illumina GSAs	v5	Female	23andMe
11053	37			Male	AncestryDNA
10885	37	Illumina GSAs	v5	Male	23andMe
1085	37	OmniExpress plus	v3	Male	23andMe
10986	37	Illumina GSAs	v5	Female	23andMe
1078	37	OmniExpress	v1	Female	AncestryDNA
10523	37	Illumina GSAs	v5	Male	23andMe
10424	37			Female	AncestryDNA
1050	37			Male	FTDNA
1036	37	OmniExpress plus	v3	Male	23andMe
10620	37	Illumina GSAs	v5	Female	23andMe
10092	37	HTS iSelect HD	v4	Male	23andMe
10508	37	OmniExpress	v1	Female	AncestryDNA
1020	37	OmniExpress plus	v3	Male	23andMe
10123	37	Illumina GSAs	v5	Female	23andMe
10834	37			Female	vcf
10497	37	Illumina GSAs	v5	Male	23andMe
10325	37	Illumina GSAs	v5	Female	23andMe
10251	37	OmniExpress plus	v3	Female	23andMe
10430	37			Female	AncestryDNA
1091	37	OmniExpress plus	v3	Male	23andMe
11008	37	Illumina GSAs	v5	Female	23andMe
1024	37	OmniExpress plus	v3	Female	23andMe
11	37	OmniExpress plus	v3	Male	23andMe
10984	37			Male	AncestryDNA
1010	37			Male	23andMe
1028	37	OmniExpress plus	v3	Female	23andMe
10827	37	OmniExpress	v1	Female	AncestryDNA
10883	37			Female	FTDNA, FTDNA
11015	37	HTS iSelect HD	v4	Female	23andMe
1074	37	OmniExpress	v1	Female	AncestryDNA
10374	37	OmniExpress plus	v3	Female	23andMe
10233	37	Illumina GSAs	v5	Male	23andMe
11012	37			Female	AncestryDNA
10097	37			Female	AncestryDNA, AncestryDNA
10100	37			Female	AncestryDNA
10702	37	Illumina GSAs	v5	Female	23andMe
1022	37	OmniExpress plus	v3	Male	23andMe
1080	37	OmniExpress plus	v3	Female	23andMe
10959	37			Female	LivingDNA
10477	37	Illumina GSAs	v5	Female	23andMe, GenesForGood
10781	37	Illumina GSAs	v5	Male	23andMe
1038	37	OmniExpress plus	v3	Female	23andMe
10384	37			Female	AncestryDNA
1013	37	OmniExpress plus	v3	Male	23andMe
10036	37			Male	AncestryDNA
10770	37	Illumina GSAs	v5	Female	23andMe
10632	37			Male	23andMe, 23andMe
10773	37			Male	AncestryDNA
1092	37	OmniExpress			FTDNA
10919	37	Illumina GSAs		Male	generic
10077	37	Illumina GSAs	v5	Female	23andMe
10575	37			Female	FTDNA
10362	37			Male	FTDNA
10246	37			Male	AncestryDNA
10586	37			Male	AncestryDNA
1066	37	OmniExpress plus	v3	Male	23andMe
10339	37	Illumina GSAs	v5	Female	23andMe
10490	37			Female	AncestryDNA
1063	37	OmniExpress plus	v3	Male	23andMe
10191	37	Illumina GSAs	v5	Male	23andMe
10964	37			Female	AncestryDNA
10207	37	Illumina GSAs	v5	Male	23andMe
10492	37			Female	AncestryDNA
1058	37	OmniExpress plus	v3	Female	23andMe
1089	37	OmniExpress plus	v3	Female	23andMe
1077	37	OmniExpress plus	v3	Male	23andMe
10020	37	Illumina GSAs	v5	Male	23andMe
1059	37				generic
10381	37			Female	AncestryDNA
1104	37	OmniExpress plus	v3	Female	23andMe, 23andMe, 23andMe
10967	37	Illumina GSAs	v5	Female	23andMe
10469	37	Illumina GSAs	v5	Female	23andMe
10260	37			Female	AncestryDNA
1075	37	OmniExpress plus	v3	Female	23andMe
10012	37			Female	23andMe
10080	37	Illumina GSAs	v5	Male	23andMe
11069	37			Female	AncestryDNA
user	build	chip	chip_version	inferred_sex	source
1440	37	OmniExpress plus	v3	Female	23andMe
141	37	OmniExpress plus	v3	Male	23andMe
11462	37			Female	AncestryDNA
1209	37	OmniExpress plus	v3	Female	23andMe
1193	37	OmniExpress plus	v3	Female	23andMe
13	37	OmniExpress plus	v3	Male	23andMe
11753	37			Male	AncestryDNA
11531	37			Male	AncestryDNA, 23andMe
11795	37			Female	AncestryDNA
1165	37	OmniExpress plus	v3	Female	23andMe
1325	37	OmniExpress plus	v3	Female	23andMe
1177	37	OmniExpress plus	v3	Male	23andMe
11790	37			Female	23andMe, 23andMe
1424	37	OmniExpress plus	v3	Female	23andMe
1221	37	OmniExpress plus	v3	Male	23andMe
11562	37			Male	AncestryDNA
1420	37	OmniExpress plus	v3	Male	23andMe
11493	37	HTS iSelect HD	v4	Female	23andMe
139	37	OmniExpress plus	v3	Male	23andMe
11669	37	Illumina GSAs	v5	Male	23andMe
1131	37	OmniExpress plus	v3	Female	23andMe
11758	37			Female	vcf
1374	37	OmniExpress plus	v3	Female	23andMe
1404	37	OmniExpress plus	v3	Male	23andMe, AncestryDNA
11135	37			Female	AncestryDNA
1290	37	OmniExpress plus	v3	Male	23andMe
1201	37	OmniExpress plus	v3	Female	23andMe
1470	37	OmniExpress plus	v3	Male	23andMe
11796	37	Illumina GSAs	v5	Male	23andMe
1459	37	OmniExpress plus	v3	Female	23andMe
11393	37			Female	AncestryDNA
1467	37	OmniExpress plus	v3	Male	23andMe
1288	37	OmniExpress plus	v3	Female	23andMe
1465	37	OmniExpress plus	v3	Female	23andMe
1390	37	OmniExpress plus	v3	Female	23andMe
1403	37				23andMe
118	37			Male	23andMe
1426	37	OmniExpress			FTDNA, DNA.Land, FTDNA
126	37			Male	23andMe
1112	37	OmniExpress plus	v3	Male	23andMe
11441	37	Illumina GSAs	v5	Female	23andMe
1338	37	OmniExpress plus	v3	Male	23andMe
137	37	OmniExpress plus	v3	Male	23andMe
11519	37	OmniExpress	v1	Female	AncestryDNA
1472	37				23andMe
11739	37			Female	FTDNA, FTDNA
1227	37	OmniExpress plus	v3	Male	23andMe
1259	37	OmniExpress			FTDNA
1192	37	OmniExpress plus	v3	Female	23andMe
11087	37	Illumina GSAs	v5	Male	23andMe
11526	37			Female	AncestryDNA
11388	37	Illumina GSAs	v5	Female	23andMe
1183	37	OmniExpress			FTDNA
1409	37	OmniExpress plus	v3	Male	23andMe
1379	37	OmniExpress plus	v3	Female	23andMe
1275	37	OmniExpress plus	v3	Male	23andMe
1129	37	OmniExpress plus	v3	Male	23andMe
11377	37			Male	AncestryDNA
1210	37	OmniExpress plus	v3	Female	23andMe
1447	37	OmniExpress plus	v3	Female	23andMe
1213	37	OmniExpress plus	v3	Female	23andMe
1442	37	OmniExpress plus	v3	Male	23andMe
14	37			Female	23andMe
11828	37			Female	AncestryDNA
11548	37			Female	AncestryDNA
1235	37	OmniExpress plus	v3	Female	23andMe
11520	37				generic
1384	37	OmniExpress plus	v3	Male	23andMe
11747	37			Male	AncestryDNA
11819	37	Illumina GSAs	v5	Female	23andMe
11502	37			Female	AncestryDNA
1341	37	OmniExpress plus	v3	Female	23andMe
11458	37			Female	AncestryDNA
1133	37	OmniExpress plus	v3	Male	23andMe
11515	37			Female	AncestryDNA
11698	37	Illumina GSAs	v5	Male	23andMe
